cer,wer,bwer,line_count_match,gt_line_count,transcription_line_count,document_id,method
0.15279299014238773,0.5154320987654321,0.4876543209876543,True,34,34,7474188,gemini
0.20457209847596716,0.554006968641115,0.5261324041811847,True,31,31,7474189,gemini
0.18691037735849056,0.5582191780821918,0.4931506849315068,True,31,31,7474194,gemini
0.14586799778147533,0.5255255255255256,0.5135135135135135,True,33,33,7474190,gemini
0.19631901840490798,0.7419354838709677,0.7419354838709677,True,10,10,7474184,gemini
0.24677966101694915,0.592156862745098,0.5607843137254902,True,29,29,7474185,gemini
0.15104445634708089,0.5507246376811594,0.5217391304347826,True,33,33,7474191,gemini
0.13542795232936078,0.5124223602484472,0.5,True,33,33,7474187,gemini
0.15089086859688197,0.5434782608695652,0.5186335403726708,True,32,32,7474193,gemini
0.19499105545617174,0.6040955631399317,0.5494880546075085,True,34,34,7474186,gemini
